,数据类型,缺失数量,缺失比例(%),唯一值数量
TenureGroup,category,508,9.02,4
CustomerID,int64,0,0.0,5630
Churn,int64,0,0.0,2
CashbackAmount,float64,0,0.0,2586
DaySinceLastOrder,float64,0,0.0,22
OrderCount,float64,0,0.0,16
CouponUsed,float64,0,0.0,17
OrderAmountHikeFromlastYear,float64,0,0.0,16
Complain,int64,0,0.0,2
NumberOfAddress,int64,0,0.0,15
MaritalStatus,str,0,0.0,3
SatisfactionScore,int64,0,0.0,5
PreferedOrderCat,str,0,0.0,5
NumberOfDeviceRegistered,int64,0,0.0,6
HourSpendOnApp,float64,0,0.0,6
Gender,str,0,0.0,2
PreferredPaymentMode,str,0,0.0,5
WarehouseToHome,float64,0,0.0,34
CityTier,int64,0,0.0,3
PreferredLoginDevice,str,0,0.0,2
Tenure,float64,0,0.0,36
IsMobileLogin,int64,0,0.0,2
