feature,importance
num__Tenure,0.2892829589175254
num__Complain,0.09428717988550046
cat__TenureGroup_新用户,0.07348331063446002
num__CashbackAmount,0.06627504781348811
cat__PreferedOrderCat_Mobile Phone,0.04705852456856591
num__DaySinceLastOrder,0.044498295214273814
num__NumberOfAddress,0.03455639080475378
num__SatisfactionScore,0.030222295375089032
cat__TenureGroup_13-24个月,0.029191006032717237
num__CityTier,0.028457408363908487
cat__MaritalStatus_Single,0.026617741810133117
cat__TenureGroup_0-6个月,0.026608334853885574
num__WarehouseToHome,0.025209061528258365
num__OrderAmountHikeFromlastYear,0.019186471267849083
cat__TenureGroup_24个月以上,0.01896461512882659
num__NumberOfDeviceRegistered,0.017577253467499894
cat__TenureGroup_7-12个月,0.0169893442332439
cat__PreferedOrderCat_Laptop & Accessory,0.016725002380638367
cat__MaritalStatus_Married,0.01297607020897622
num__OrderCount,0.01288499558044534
num__CouponUsed,0.010761217051233722
cat__PreferedOrderCat_Fashion,0.007199084862012216
cat__PreferredPaymentMode_Credit Card,0.006822551829917701
cat__Gender_Female,0.005839261247213202
cat__PreferredLoginDevice_Mobile Phone,0.005104811641270794
cat__Gender_Male,0.004996805731549521
cat__PreferredLoginDevice_Computer,0.004650917545080483
num__IsMobileLogin,0.0045819615347658955
num__HourSpendOnApp,0.003806597898143085
cat__PreferredPaymentMode_Debit Card,0.003718416522185232
cat__PreferredPaymentMode_E wallet,0.003648687119246206
cat__PreferedOrderCat_Grocery,0.0027189837703715685
cat__PreferredPaymentMode_Cash on Delivery,0.0021844343149828014
cat__MaritalStatus_Divorced,0.0015002707203839887
cat__PreferedOrderCat_Others,0.000741252480720668
cat__PreferredPaymentMode_UPI,0.0006734376608842986
